Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850,,,
1851,,,
1852,,,
1853,,,
1854,,,
1855,,,
1856,,,
1857,-0.62146837,-1.0638012,-0.17152715
1858,-0.5740247,-0.9873392,-0.15253097
1859,-0.298354,-0.7166632,0.1280443
1860,-0.77010626,-1.199682,-0.3326787
1861,-0.48738754,-0.9185116,-0.048482988
1862,-0.69121975,-1.1259425,-0.2488021
1863,-0.30097395,-0.7333622,0.13918456
1864,-0.8045563,-1.2349976,-0.3663149
1865,-0.44073376,-0.8662987,-0.0072092945
1866,-0.43463433,-0.8336175,-0.02703195
1867,-0.62676316,-1.0216157,-0.22324146
1868,-0.41767097,-0.8116062,-0.0150055
1869,-0.38201228,-0.77088976,0.015633771
1870,-0.5697254,-0.94877195,-0.18171419
1871,-0.70649046,-1.0821482,-0.32182828
1872,-0.35162523,-0.714477,0.020556213
1873,-0.39299032,-0.74060106,-0.03563194
1874,-0.48000377,-0.82801193,-0.12227514
1875,-0.82112014,-1.1494029,-0.48244956
1876,-0.51486105,-0.84801567,-0.1714003
1877,-0.23654482,-0.57021594,0.10745445
1878,-0.022331499,-0.35270578,0.31851137
1879,-0.57504505,-0.89893985,-0.24051064
1880,-0.4026423,-0.7260686,-0.068559155
1881,-0.43508998,-0.7484719,-0.11073075
1882,-0.32088077,-0.63080883,0.00020903007
1883,-0.588629,-0.8939125,-0.27196
1884,-0.71079487,-1.0122144,-0.39787844
1885,-0.69424015,-0.99568766,-0.38134044
1886,-0.54195964,-0.8472232,-0.2253263
1887,-0.61349946,-0.91638124,-0.29918793
1888,-0.61133605,-0.9103305,-0.30079564
1889,-0.29912037,-0.6020372,0.015270441
1890,-0.4722799,-0.7749094,-0.15812851
1891,-0.5621731,-0.8631818,-0.24955338
1892,-0.62733984,-0.9286677,-0.31437054
1893,-0.7041048,-1.0034479,-0.39302996
1894,-0.48854354,-0.78288394,-0.18229204
1895,-0.5807152,-0.87600464,-0.27354664
1896,-0.40957755,-0.7040372,-0.1031971
1897,-0.32918918,-0.62182117,-0.024550611
